JCAT,Name,TDate,Program,Category,Result
S61730,Kosmos-2579,,Bars,IMG,S
S61733,Kirameki 3,,DSN,COM,S
S61735,Ionosfera-M No. 1,,Ionosfera,SCI,S
S61736,Ionosfera-M No. 2,,Ionosfera,SCI,S
S61737,SITRO-AIS-16,,Sputnix,COM,S
S61738,SITRO-AIS-15,,Sputnix,COM,S
S61739,SITRO-AIS-21,,Sputnix,COM,S
S61740,SITRO-AIS-22,,Sputnix,COM,S
S61741,SITRO-AIS-24,,Sputnix,COM,S
S61742,SITRO-AIS-23,,Sputnix,COM,S
S61743,SITRO-AIS-13,,Sputnix,COM,S
S61744,CSTP-2.11,,STTs,TECH,S
S61745,Polytech Universe-5,,Polytech,SCI,S
S61746,Kolibri-S,,Samsat,IMG,S
S61747,Polytech Universe-4,,Polytech,SCI,S
S61748,SITRO-AIS-44,,Sputnix,COM,S
S61749,Vizard-ion,,Vizard,TECH,S
S61750,Vladivostok-1,,DVFU,TECH,S
S61751,CSTP-2.1,,STTs,TECH,S
S61752,SITRO-AIS-14,,Sputnix,COM,S
S61753,Khors No. 3,,Khors,MET-RO,S
S61754,Khors No. 4,,Khors,MET-RO,S
S61755,SITRO-AIS-43,,Sputnix,COM,S
S61756,SITRO-AIS-42,,Sputnix,COM,S
S61757,Gorizont,,BGTU,TECH,S
S61758,SITRO-AIS-20,,Sputnix,COM,S
S61759,SITRO-AIS-19,,Sputnix,COM,S
S61760,SITRO-AIS-41,,Sputnix,COM,S
S61761,CSTP-2.2,,STTs,TECH,S
S61762,SXC3-2361 ArcticSat-1,,NARFU,SCI/COM,S
S61763,SIT-HSE,,SPbGUT,TECH,S
S61764,SIT-2086,,Shk2086,TECH,S
S61765,Mordovia,,Saransk,TECH,S
S61766,Ruzaevka-390,,Saransk,TECH,S
S61767,Nokhcho,2025 Dec?,Chechen,COM,S
S61769,Kowsar,,SpaceOmid,IMG,S
S61770,NORBI-3,2024 Dec?,NSU,SCI,S
S61771,SITRO-AIS-48,,Sputnix,COM,S
S61772,SXC6-2362 HyperView-1G,,Samsat,IMG,S
S61773,SITRO-AIS-47,,Sputnix,COM,S
S61774,SITRO-AIS-46,,Sputnix,COM,S
S61775,MTUSI-1,,MTUSI,TECH,S
S61776,SITRO-AIS-40,,Sputnix,COM,S
S61777,Hodhod,,SpaceOmid Cube,COM,S
S61778,SITRO-AIS-39,,Sputnix,COM,S
S61779,Al'tair,,MGU,SCI,S
S61780,SITRO-AIS-37,,Sputnix,COM,S
S61781,Druzhba ATURK,,AMGU,COM,S
S61782,TUSUR GO,,TUSUR,TECH,S
S61783,ZIMSAT-2,,ZINGA,IMG,S
S61784,SamSat-Ionosfera,,Samsat,TECH,S
S61785,RTU MIREA1,,MIREA,TECH,S
S61786,SITRO-AIS-38,,Sputnix,COM,S
S61787,YUZGU-60,,YuZGU,TECH,S
S61788,SITRO-AIS-45,,Sputnix,COM,S
S61789,SITRO-AIS-17,,Sputnix,COM,S
S61790,SITRO-AIS-18,,Sputnix,COM,S
S61791,Dragon CRS-31,2024 Dec 17 1839,Dragon 2 Cargo,SS,S
S61793,Protosat-1,,E-Space,COM,S
S61845,Starlink-32362,,Starlink 2M S2,COM,S
S61846,Starlink-32472,,Starlink 2M S2,COM,S
S61847,Starlink-32352,,Starlink 2M S2,COM,S
S61848,Starlink-32427,,Starlink 2M S2,COM,S
S61849,Starlink-32346,,Starlink 2M S2,COM,S
S61850,Starlink-32330,,Starlink 2M S2,COM,S
S61851,Starlink-32379,,Starlink 2M S2,COM,S
S61852,Starlink-32433,,Starlink 2M S2,COM,S
S61853,Starlink-32394,,Starlink 2M S2,COM,S
S61854,Starlink-32486,,Starlink 2M S2,COM,S
S61855,Starlink-32391,,Starlink 2M S2,COM,S
S61856,Starlink-32483,,Starlink 2M S2,COM,S
S61857,Starlink-32451,,Starlink 2M S2,COM,S
S61858,Starlink-32556,,Starlink 2M S2,COM,S
S61859,Starlink-32466,,Starlink 2M S2,COM,S
S61860,Starlink-32316,,Starlink 2M S2,COM,S
S61861,Starlink-32415,,Starlink 2M S2,COM,S
S61862,Starlink-32393,,Starlink 2M S2,COM,S
S61863,Starlink-32324,,Starlink 2M S2,COM,S
S61864,Starlink-32318,,Starlink 2M S2,COM,S
S61865,Starlink-32401,,Starlink 2M S2,COM,S
S61866,Starlink-32588,,Starlink 2M S2,COM,S
S61867,Starlink-32569,,Starlink 2M S2,COM,S
S61869,PIESAT 2-1,,PIESAT,IMG-R,S
S61870,PIESAT 2-2,,PIESAT,IMG-R,S
S61871,PIESAT 2-3,,PIESAT,IMG-R,S
S61872,PIESAT 2-4,,PIESAT,IMG-R,S
S61874,Starlink-11402,,Starlink 2M D1,COM,S
S61875,Starlink-11316,,Starlink 2M D1,COM,S
S61876,Starlink-11401,,Starlink 2M D1,COM,S
S61877,Starlink-11321,,Starlink 2M D1,COM,S
S61878,Starlink-11314,,Starlink 2M D1,COM,S
S61879,Starlink-11324,,Starlink 2M D1,COM,S
S61880,Starlink-11328,,Starlink 2M D1,COM,S
S61881,Starlink-11329,,Starlink 2M D1,COM,S
S61882,Starlink-11398,,Starlink 2M D1,COM,S
S61883,Starlink-11383,,Starlink 2M D1,COM,S
S61884,Starlink-11359,,Starlink 2M D1,COM,S
S61885,Starlink-11301,,Starlink 2M D1,COM,S
S61886,Starlink-11351,,Starlink 2M D1,COM,S
S61887,Starlink-32410,,Starlink 2M S1,COM,S
S61888,Starlink-32377,,Starlink 2M S1,COM,S
S61889,Starlink-32292,,Starlink 2M S1,COM,S
S61890,Starlink-32501,,Starlink 2M S1,COM,S
S61891,Starlink-32383,,Starlink 2M S1,COM,S
S61892,Starlink-32239,,Starlink 2M S1,COM,S
S61893,Starlink-32489,,Starlink 2M S1,COM,S
S61894,Yunyao-1 31,,Yunyao,MET-RO,S
S61895,Xiguang 1-04,,Xiguang,IMG,S
S61896,Yunyao-1 32,,Yunyao,MET-RO,S
S61897,Jilin-1 GaoFen 05B,,Jilin-1 GF,IMG,S
S61898,Yunyao-1 33,,Yunyao,MET-RO,S
S61899,Aman Zhineng Yaogan-1,,Star Vision,IMG,S
S61900,Yunyao-1 34,,Yunyao,MET-RO,S
S61901,Xiguang 1-05,,Xiguang,IMG,S
S61902,Yunyao-1 35,,Yunyao,MET-RO,S
S61903,Shiyan 26C,,SW22,TECH,S
S61904,Yunyao-1 36,,Yunyao,MET-RO,S
S61905,Jilin-1 Pingtai 02A03,,Jilin-1 PT,IMG,S
S61906,Tianyan-24,,Tianyan,IMG,S
S61907,Shiyan 26A,,SW22,TECH,S
S61908,Shiyan 26B,,SW22,TECH,S
S61910,KOREASAT 6A,,Koreasat,COM,S
S61912,Starlink-32303,,Starlink 2M S2,COM,S
S61913,Starlink-32434,,Starlink 2M S2,COM,S
S61914,Starlink-32460,,Starlink 2M S2,COM,S
S61915,Starlink-32559,,Starlink 2M S2,COM,S
S61916,Starlink-32541,,Starlink 2M S2,COM,S
S61917,Starlink-32544,,Starlink 2M S2,COM,S
S61918,Starlink-32555,,Starlink 2M S2,COM,S
S61919,Starlink-32547,,Starlink 2M S2,COM,S
S61920,Starlink-32616,,Starlink 2M S2,COM,S
S61921,Starlink-32605,,Starlink 2M S2,COM,S
S61922,Starlink-32579,,Starlink 2M S2,COM,S
S61923,Starlink-32537,,Starlink 2M S2,COM,S
S61924,Starlink-32564,,Starlink 2M S2,COM,S
S61925,Starlink-32536,,Starlink 2M S2,COM,S
S61926,Starlink-32624,,Starlink 2M S2,COM,S
S61927,Starlink-32622,,Starlink 2M S2,COM,S
S61928,Starlink-32620,,Starlink 2M S2,COM,S
S61929,Starlink-32609,,Starlink 2M S2,COM,S
S61930,Starlink-32567,,Starlink 2M S2,COM,S
S61931,Starlink-32420,,Starlink 2M S2,COM,S
S61932,Starlink-32354,,Starlink 2M S2,COM,S
S61933,Starlink-32361,,Starlink 2M S2,COM,S
S61934,Starlink-32563,2025 Apr 22?,Starlink 2M S2,COM,S
S61935,Starlink-32500,,Starlink 2M S2,COM,S
S61936,Hai Yang 4-01,,HY-4,EOSCI,S
S61939,Starlink-11407,,Starlink 2M D1,COM,S
S61940,Starlink-11337,,Starlink 2M D1,COM,S
S61941,Starlink-11353,,Starlink 2M D1,COM,S
S61942,Starlink-11320,,Starlink 2M D1,COM,S
S61943,Starlink-11425,,Starlink 2M D1,COM,S
S61944,Starlink-11422,,Starlink 2M D1,COM,S
S61945,Starlink-11421,,Starlink 2M D1,COM,S
S61946,Starlink-11410,,Starlink 2M D1,COM,S
S61947,Starlink-11390,,Starlink 2M D1,COM,S
S61948,Starlink-11414,,Starlink 2M D1,COM,S
S61949,Starlink-11424,,Starlink 2M D1,COM,S
S61950,Starlink-11423,,Starlink 2M D1,COM,S
S61951,Starlink-11395,,Starlink 2M D1,COM,S
S61952,Starlink-32572,,Starlink 2M S1,COM,S
S61953,Starlink-32585,,Starlink 2M S1,COM,S
S61954,Starlink-32574,,Starlink 2M S1,COM,S
S61955,Starlink-32583,,Starlink 2M S1,COM,S
S61956,Starlink-32273,,Starlink 2M S1,COM,S
S61957,Starlink-32359,,Starlink 2M S1,COM,S
S61958,Starlink-32566,,Starlink 2M S1,COM,S
S61959,Starlink-32499,,Starlink 2M S2,COM,S
S61960,Starlink-32372,,Starlink 2M S2,COM,S
S61961,Starlink-32452,,Starlink 2M S2,COM,S
S61962,Starlink-32458,,Starlink 2M S2,COM,S
S61963,Starlink-32487,,Starlink 2M S2,COM,S
S61964,Starlink-32513,,Starlink 2M S2,COM,S
S61965,Starlink-32514,,Starlink 2M S2,COM,S
S61966,Starlink-32498,,Starlink 2M S2,COM,S
S61967,Starlink-32518,,Starlink 2M S2,COM,S
S61968,Starlink-32471,,Starlink 2M S2,COM,S
S61969,Starlink-32450,,Starlink 2M S2,COM,S
S61970,Starlink-32613,,Starlink 2M S2,COM,S
S61971,Starlink-32610,,Starlink 2M S2,COM,S
S61972,Starlink-32612,,Starlink 2M S2,COM,S
S61973,Starlink-32601,,Starlink 2M S2,COM,S
S61974,Starlink-32593,,Starlink 2M S2,COM,S
S61975,Starlink-32586,,Starlink 2M S2,COM,S
S61976,Starlink-32611,,Starlink 2M S2,COM,S
S61977,Starlink-32607,,Starlink 2M S2,COM,S
S61978,Starlink-32606,,Starlink 2M S2,COM,S
S61979,Starlink-32578,,Starlink 2M S2,COM,S
S61980,Starlink-32517,,Starlink 2M S2,COM,S
S61981,Starlink-32522,,Starlink 2M S2,COM,S
S61982,Starlink-32560,,Starlink 2M S2,COM,S
S61983,Tianzhou-8,2025 Jul  8 2246?,Tianzhou,SS,S
S62006,ADS-01,,Optus,COM,S
S62008,Starlink-11433,,Starlink 2M D1,COM,S
S62009,Starlink-11262,,Starlink 2M D1,COM,S
S62010,Starlink-11326,,Starlink 2M D1,COM,S
S62011,Starlink-11330,,Starlink 2M D1,COM,S
S62012,Starlink-11363,,Starlink 2M D1,COM,S
S62013,Starlink-11377,,Starlink 2M D1,COM,S
S62014,Starlink-11385,,Starlink 2M D1,COM,S
S62015,Starlink-11396,,Starlink 2M D1,COM,S
S62016,Starlink-11393,,Starlink 2M D1,COM,S
S62017,Starlink-11343,,Starlink 2M D1,COM,S
S62018,Starlink-11411,,Starlink 2M D1,COM,S
S62019,Starlink-11404,,Starlink 2M D1,COM,S
S62020,Starlink-11378,,Starlink 2M D1,COM,S
S62021,Starlink-32520,,Starlink 2M S1,COM,S
S62022,Starlink-32539,,Starlink 2M S1,COM,S
S62023,Starlink-32334,,Starlink 2M S1,COM,S
S62024,Starlink-32504,,Starlink 2M S1,COM,S
S62025,Starlink-32493,,Starlink 2M S1,COM,S
S62026,Starlink-32561,,Starlink 2M S1,COM,S
S62027,Starlink-32512,,Starlink 2M S1,COM,S
S62028,GSAT-20,,GSAT I3K,COM,S
S62030,Progress MS-29,2025 Jul  1 2230?,Progress MS,SS,S
S62032,Starlink-32637,,Starlink 2M S2,COM,S
S62033,Starlink-32582,,Starlink 2M S2,COM,S
S62034,Starlink-32615,,Starlink 2M S2,COM,S
S62035,Starlink-32592,,Starlink 2M S2,COM,S
S62036,Starlink-32225,,Starlink 2M S2,COM,S
S62037,Starlink-32595,,Starlink 2M S2,COM,S
S62038,Starlink-32477,,Starlink 2M S2,COM,S
S62039,Starlink-32480,,Starlink 2M S2,COM,S
S62040,Starlink-32510,,Starlink 2M S2,COM,S
S62041,Starlink-32456,,Starlink 2M S2,COM,S
S62042,Starlink-32509,,Starlink 2M S2,COM,S
S62043,Starlink-32491,,Starlink 2M S2,COM,S
S62044,Starlink-32577,,Starlink 2M S2,COM,S
S62045,Starlink-32618,,Starlink 2M S2,COM,S
S62046,Starlink-32598,,Starlink 2M S2,COM,S
S62047,Starlink-32630,,Starlink 2M S2,COM,S
S62048,Starlink-32599,,Starlink 2M S2,COM,S
S62049,Starlink-32473,,Starlink 2M S2,COM,S
S62050,Starlink-32492,,Starlink 2M S2,COM,S
S62051,Starlink-32496,,Starlink 2M S2,COM,S
S62052,Starlink-32495,,Starlink 2M S2,COM,S
S62053,Starlink-32494,,Starlink 2M S2,COM,S
S62054,Starlink-32408,,Starlink 2M S2,COM,S
S62055,Starlink-32571,,Starlink 2M S2,COM,S
S62056,Bayi 08 xing,2025 Mar 18?,Bayi,COM,S
S62057,Starlink-11465,,Starlink 2M D1,COM,S
S62058,Starlink-11426,,Starlink 2M D1,COM,S
S62059,Starlink-11454,,Starlink 2M D1,COM,S
S62060,Starlink-11473,,Starlink 2M D1,COM,S
S62061,Starlink-11429,,Starlink 2M D1,COM,S
S62062,Starlink-11470,,Starlink 2M D1,COM,S
S62063,Starlink-11427,,Starlink 2M D1,COM,S
S62064,Starlink-11456,,Starlink 2M D1,COM,S
S62065,Starlink-11474,,Starlink 2M D1,COM,S
S62066,Starlink-11463,,Starlink 2M D1,COM,S
S62067,Starlink-11472,,Starlink 2M D1,COM,S
S62068,Starlink-11467,,Starlink 2M D1,COM,S
S62069,Starlink-11460,,Starlink 2M D1,COM,S
S62070,Starlink-32604,,Starlink 2M S1,COM,S
S62071,Starlink-32553,,Starlink 2M S1,COM,S
S62072,Starlink-32603,,Starlink 2M S1,COM,S
S62073,Starlink-32444,,Starlink 2M S1,COM,S
S62074,Starlink-32619,,Starlink 2M S1,COM,S
S62075,Starlink-32580,,Starlink 2M S1,COM,S
S62076,Starlink-32617,,Starlink 2M S1,COM,S
S62079,Siwei Gaojing 2-03,,Siwei,IMG-R,S
S62080,Siwei Gaojing 2-04,,Siwei,IMG-R,S
S62081,Kineis-5D,,Kineis,COM,S
S62082,Kineis-5C,,Kineis,COM,S
S62083,Kineis-5E,,Kineis,COM,S
S62084,Kineis-5A,,Kineis,COM,S
S62085,Kineis-5B,,Kineis,COM,S
S62088,Starlink-11384,,Starlink 2M D2,COM,S
S62089,Starlink-11379,,Starlink 2M D2,COM,S
S62090,Starlink-11387,,Starlink 2M D2,COM,S
S62091,Starlink-11389,,Starlink 2M D2,COM,S
S62092,Starlink-11388,,Starlink 2M D2,COM,S
S62093,Starlink-11345,,Starlink 2M D2,COM,S
S62094,Starlink-11381,,Starlink 2M D2,COM,S
S62095,Starlink-11369,,Starlink 2M D2,COM,S
S62096,Starlink-11303,,Starlink 2M D2,COM,S
S62097,Starlink-11367,,Starlink 2M D2,COM,S
S62098,Starlink-11386,,Starlink 2M D2,COM,S
S62099,Starlink-11380,,Starlink 2M D2,COM,S
S62100,Starlink-33566,,Starlink 2MO S2,COM,S
S62101,Starlink-33545,,Starlink 2MO S2,COM,S
S62102,Starlink-33562,,Starlink 2MO S2,COM,S
S62103,Starlink-33554,,Starlink 2MO S2,COM,S
S62104,Starlink-33555,,Starlink 2MO S2,COM,S
S62105,Starlink-33542,2025 Aug 12,Starlink 2MO S2,COM,S
S62106,Starlink-33557,2025 Aug 13?,Starlink 2MO S2,COM,S
S62107,Starlink-33559,,Starlink 2MO S2,COM,S
S62108,Starlink-33553,,Starlink 2MO S2,COM,S
S62109,Starlink-33556,,Starlink 2MO S2,COM,S
S62110,Starlink-33551,,Starlink 2MO S2,COM,S
S62111,Guangchuan 01,,Guangchuan,COM,S
S62112,Guangchuan 02,,Guangchuan,COM,S
S62114,Starlink-32311,,Starlink 2M S2,COM,S
S62115,Starlink-32470,,Starlink 2M S2,COM,S
S62116,Starlink-32502,,Starlink 2M S2,COM,S
S62117,Starlink-32521,,Starlink 2M S2,COM,S
S62118,Starlink-32549,,Starlink 2M S2,COM,S
S62119,Starlink-32535,,Starlink 2M S2,COM,S
S62120,Starlink-32548,,Starlink 2M S2,COM,S
S62121,Starlink-32525,,Starlink 2M S2,COM,S
S62122,Starlink-32628,,Starlink 2M S2,COM,S
S62123,Starlink-32626,,Starlink 2M S2,COM,S
S62124,Starlink-32608,,Starlink 2M S2,COM,S
S62125,Starlink-32488,,Starlink 2M S2,COM,S
S62126,Starlink-32490,,Starlink 2M S2,COM,S
S62127,Starlink-32557,,Starlink 2M S2,COM,S
S62128,Starlink-32568,,Starlink 2M S2,COM,S
S62129,Starlink-32462,,Starlink 2M S2,COM,S
S62130,Starlink-32463,,Starlink 2M S2,COM,S
S62131,Starlink-32550,,Starlink 2M S2,COM,S
S62132,Starlink-32507,,Starlink 2M S2,COM,S
S62133,Starlink-32245,,Starlink 2M S2,COM,S
S62134,Starlink-32546,,Starlink 2M S2,COM,S
S62135,Starlink-32545,,Starlink 2M S2,COM,S
S62136,Starlink-32554,,Starlink 2M S2,COM,S
S62137,Starlink-32570,,Starlink 2M S2,COM,S
S62138,Kondor-FKA No. 2,,Kondor-FKA,IMG-R,S
S62139,Starlink-32529,,Starlink 2M S2,COM,S
S62140,Starlink-32464,,Starlink 2M S2,COM,S
S62141,Starlink-32482,,Starlink 2M S2,COM,S
S62142,Starlink-32454,,Starlink 2M S2,COM,S
S62143,Starlink-32485,,Starlink 2M S2,COM,S
S62144,Starlink-32388,,Starlink 2M S2,COM,S
S62145,Starlink-32374,,Starlink 2M S2,COM,S
S62146,Starlink-32384,,Starlink 2M S2,COM,S
S62147,Starlink-32295,,Starlink 2M S2,COM,S
S62148,Starlink-32479,,Starlink 2M S2,COM,S
S62149,Starlink-32468,,Starlink 2M S2,COM,S
S62150,Starlink-32629,,Starlink 2M S2,COM,S
S62151,Starlink-32644,,Starlink 2M S2,COM,S
S62152,Starlink-32623,,Starlink 2M S2,COM,S
S62153,Starlink-32639,,Starlink 2M S2,COM,S
S62154,Starlink-32625,,Starlink 2M S2,COM,S
S62155,Starlink-32635,,Starlink 2M S2,COM,S
S62156,Starlink-32532,,Starlink 2M S2,COM,S
S62157,Starlink-32503,,Starlink 2M S2,COM,S
S62158,Starlink-32508,,Starlink 2M S2,COM,S
S62159,Starlink-32524,,Starlink 2M S2,COM,S
S62160,Starlink-32484,,Starlink 2M S2,COM,S
S62161,Starlink-32497,,Starlink 2M S2,COM,S
S62162,Starlink-32526,,Starlink 2M S2,COM,S
S62163,USA 438,,NRO Star B,IMG,S
S62164,USA 439,,NRO Star B,IMG,S
S62165,Starlink-32523,,Starlink 2M S3,COM,S
S62166,Starlink-32551,,Starlink 2M S3,COM,S
S62167,Starlink-32506,,Starlink 2M S3,COM,S
S62168,Starlink-32562,,Starlink 2M S3,COM,S
S62169,Starlink-32558,,Starlink 2M S3,COM,S
S62170,Starlink-32538,,Starlink 2M S3,COM,S
S62171,Starlink-32257,,Starlink 2M S3,COM,S
S62172,Starlink-32407,,Starlink 2M S3,COM,S
S62173,Starlink-32575,,Starlink 2M S3,COM,S
S62174,Starlink-32552,,Starlink 2M S3,COM,S
S62175,Starlink-32534,,Starlink 2M S3,COM,S
S62176,Starlink-32516,,Starlink 2M S3,COM,S
S62177,Starlink-32542,,Starlink 2M S3,COM,S
S62178,Starlink-32600,,Starlink 2M S3,COM,S
S62179,Starlink-32584,,Starlink 2M S3,COM,S
S62180,Starlink-32587,,Starlink 2M S3,COM,S
S62181,Starlink-32602,,Starlink 2M S3,COM,S
S62182,Starlink-32565,,Starlink 2M S3,COM,S
S62183,Starlink-32589,,Starlink 2M S3,COM,S
S62184,Starlink-32581,,Starlink 2M S3,COM,S
S62185,JSW-03,,RSW,COM,S
S62186,Hulianwang Jishu Shiyan W.,,RSW,COM,S
S62188,Tongxin Jishu Shiyan 13,,SW10,TECH,S
S62190,Haishao-1,,AIRSAT,IMG-R,S
S62192,Starlink-32686,,Starlink 2M S2,COM,S
S62193,Starlink-32688,,Starlink 2M S2,COM,S
S62194,Starlink-32684,,Starlink 2M S2,COM,S
S62195,Starlink-32672,,Starlink 2M S2,COM,S
S62196,Starlink-32682,,Starlink 2M S2,COM,S
S62197,Starlink-32663,,Starlink 2M S2,COM,S
S62198,Starlink-32640,,Starlink 2M S2,COM,S
S62199,Starlink-32653,,Starlink 2M S2,COM,S
S62200,Starlink-32647,,Starlink 2M S2,COM,S
S62201,Starlink-32667,,Starlink 2M S2,COM,S
S62202,Starlink-32655,,Starlink 2M S2,COM,S
S62203,Starlink-32665,,Starlink 2M S2,COM,S
S62204,Starlink-32664,,Starlink 2M S2,COM,S
S62205,Starlink-32660,,Starlink 2M S2,COM,S
S62206,Starlink-32448,,Starlink 2M S2,COM,S
S62207,Starlink-32430,,Starlink 2M S2,COM,S
S62208,Starlink-32675,,Starlink 2M S2,COM,S
S62209,Starlink-32671,,Starlink 2M S2,COM,S
S62210,Starlink-32670,,Starlink 2M S2,COM,S
S62211,Starlink-32642,,Starlink 2M S2,COM,S
S62212,Starlink-32668,,Starlink 2M S2,COM,S
S62213,Starlink-32669,,Starlink 2M S2,COM,S
S62214,Starlink-32666,,Starlink 2M S2,COM,S
S62215,Starlink-32662,,Starlink 2M S2,COM,S
S62216,Kosmos-2580,,Lotos-S1,SIG,S
S62218,Starlink-11394,,Starlink 2M D1,COM,S
S62219,Starlink-11490,,Starlink 2M D1,COM,S
S62220,Starlink-11466,,Starlink 2M D1,COM,S
S62221,Starlink-11468,,Starlink 2M D1,COM,S
S62222,Starlink-11488,,Starlink 2M D1,COM,S
S62223,Starlink-11483,,Starlink 2M D1,COM,S
S62224,Starlink-11492,,Starlink 2M D1,COM,S
S62225,Starlink-11471,,Starlink 2M D1,COM,S
S62226,Starlink-11475,,Starlink 2M D1,COM,S
S62227,Starlink-11469,,Starlink 2M D1,COM,S
S62228,Starlink-11476,,Starlink 2M D1,COM,S
S62229,Starlink-11485,,Starlink 2M D1,COM,S
S62230,Starlink-11481,,Starlink 2M D1,COM,S
S62231,Starlink-32650,,Starlink 2M S1,COM,S
S62232,Starlink-32636,,Starlink 2M S1,COM,S
S62233,Starlink-32643,,Starlink 2M S1,COM,S
S62234,Starlink-32652,,Starlink 2M S1,COM,S
S62235,Starlink-32631,,Starlink 2M S1,COM,S
S62236,Starlink-32641,,Starlink 2M S1,COM,S
S62238,Qianfan Jigui 03-01,,Qianfan,COM,S
S62239,Qianfan Jigui 03-02,,Qianfan,COM,S
S62240,Qianfan Jigui 03-03,2024 Dec 30,Qianfan,COM,S
S62241,Qianfan Jigui 03-04,,Qianfan,COM,S
S62242,Qianfan Jigui 03-05,,Qianfan,COM,S
S62243,Qianfan Jigui 03-06,2025 Jan  6,Qianfan,COM,S
S62244,Qianfan Jigui 03-07,,Qianfan,COM,S
S62245,Qianfan Jigui 03-08,,Qianfan,COM,S
S62246,Qianfan Jigui 03-09,,Qianfan,COM,S
S62247,Qianfan Jigui 03-10,,Qianfan,COM,S
S62248,Qianfan Jigui 03-11,,Qianfan,COM,S
S62249,Qianfan Jigui 03-12,,Qianfan,COM,S
S62250,Qianfan Jigui 03-13,,Qianfan,COM,S
S62251,Qianfan Jigui 03-14,,Qianfan,COM,S
S62252,Qianfan Jigui 03-15,,Qianfan,COM,S
S62253,Qianfan Jigui 03-16,,Qianfan,COM,S
S62254,Qianfan Jigui 03-17,,Qianfan,COM,S
S62255,Qianfan Jigui 03-18,,Qianfan,COM,S
S62256,PROBA-3 CSC,,PROBA,TECH/AST,S
S62258,PROBA-3 OSC,,PROBA,TECH/AST,S
S62259,Sirius XM-9,,Sirius XM,COM,S
S62261,Sentinel-1C,,Sentinel,IMG-R,S
S62262,Starlink-32632,,Starlink 2M S1,COM,S
S62264,Fakhr-1,2025 Jan?,Iran,COM,S
S62265,Saman-1,2025 Jan?,Iran,TECH,S
S62266,Simorgh satellite,2025 Jan?,Iran,TECH,S
S62267,Starlink-11496,,Starlink 2M D2,COM,S
S62268,Starlink-11501,,Starlink 2M D2,COM,S
S62269,Starlink-11491,,Starlink 2M D2,COM,S
S62270,Starlink-11479,,Starlink 2M D2,COM,S
S62271,Starlink-11489,,Starlink 2M D2,COM,S
S62272,Starlink-11494,,Starlink 2M D2,COM,S
S62273,Starlink-11333,,Starlink 2M D2,COM,S
S62274,Starlink-11504,,Starlink 2M D2,COM,S
S62275,Starlink-11495,,Starlink 2M D2,COM,S
S62276,Starlink-11498,,Starlink 2M D2,COM,S
S62277,Starlink-11484,,Starlink 2M D2,COM,S
S62278,Starlink-11487,,Starlink 2M D2,COM,S
S62279,Starlink-11499,,Starlink 2M D2,COM,S
S62280,Starlink-33548,,Starlink 2MO S2,COM,S
S62281,Starlink-33544,,Starlink 2MO S2,COM,S
S62282,Starlink-33560,,Starlink 2MO S2,COM,S
S62283,Starlink-33547,,Starlink 2MO S2,COM,S
S62284,Starlink-33563,,Starlink 2MO S2,COM,S
S62285,Starlink-33550,,Starlink 2MO S2,COM,S
S62286,Starlink-33564,,Starlink 2MO S2,COM,S
S62287,Starlink-33546,,Starlink 2MO S2,COM,S
S62288,Starlink-33565,,Starlink 2MO S2,COM,S
S62289,Starlink-33549,,Starlink 2MO S2,COM,S
S62290,Gaosu Jiguang Zuanzhi 1,,GJZ,COM,S
S62291,Gaosu Jiguang Zuanzhi 2,,GJZ,COM,S
S62292,Gaosu Jiguang Zuanzhi 3,,GJZ,COM,S
S62293,Gaosu Jiguang Zuanzhi 4,,GJZ,COM,S
S62294,Gaosu Jiguang Zuanzhi 5,,GJZ,COM,S
S62295,Yodaka,2025 Feb?,ArkEdge,TECH,S
S62296,DENDEN-01,2025 Mar?,Kansai,TECH,S
S62297,LignoSat,2024 Dec  9?,Kyoto,TECH,S
S62298,Yomogi,2025 Mar?,Chiba,TECH,S
S62299,Onglaisat,2025 Feb?,TASA Cube,TECH,S
S62300,Naxing 4A,2025 Jan  5?,Naxing,IMG,S
S62301,Starlink-32648,,Starlink 2M S1,COM,S
S62302,Starlink-32594,,Starlink 2M S1,COM,S
S62303,Starlink-32621,,Starlink 2M S1,COM,S
S62304,Starlink-32597,,Starlink 2M S1,COM,S
S62305,Starlink-32649,,Starlink 2M S1,COM,S
S62306,Starlink-32633,,Starlink 2M S1,COM,S
S62307,Starlink-32646,,Starlink 2M S1,COM,S
S62308,Starlink-32706,,Starlink 2M S1,COM,S
S62309,Starlink-32678,,Starlink 2M S1,COM,S
S62310,Starlink-32696,,Starlink 2M S1,COM,S
S62311,Starlink-32700,,Starlink 2M S1,COM,S
S62312,Starlink-32698,,Starlink 2M S1,COM,S
S62313,Starlink-32634,,Starlink 2M S1,COM,S
S62314,Starlink-32651,,Starlink 2M S1,COM,S
S62315,Starlink-32627,,Starlink 2M S1,COM,S
S62316,Starlink-32596,,Starlink 2M S1,COM,S
S62317,Starlink-32519,,Starlink 2M S1,COM,S
S62318,Starlink-32576,2025 Jul 15?,Starlink 2M S1,COM,S
S62319,Starlink-32527,,Starlink 2M S1,COM,S
S62320,Starlink-32481,,Starlink 2M S1,COM,S
S62321,Starlink-32645,,Starlink 2M S1,COM,S
S62322,Starlink-32654,,Starlink 2M S1,COM,S
S62323,Hulianwang Weixing 01-01,,HWD,COM,S
S62324,Hulianwang Weixing 01-02,,HWD,COM,S
S62325,Hulianwang Weixing 01-03,,HWD,COM,S
