JCAT,Name,TDate,Program,Category,Result
S00727,,1964 Jan 30,AFTRACK,SIG*,U
S00728,,1968 Jan,POPPY,SIG,U
S00729,[EGRS],1965 Sep,Secor II,GEOD,U
S00730,[NRL Solar Rad],1966 Jul,POPPY,SIG/AST,U
S00731,,1965?,POPPY,SIG,U
S00734,,1964 Jul 10,P35,MET,U
S00735,,1965 Mar 17,P35,MET,U
S00737,[Relay Two],1965 Sep 26,Relay,COM,U
S00740,[Echo 2],1964?,Echo,COM,U
S00744,Saturn SA-5,1964 Jan 29,Saturn Block II,TECH,U
S00746,Electron I,1964 Mar,ObjectD,SCI,U
S00747,[Ranger VI],1964 Feb  2,Ranger III,PLAN,U
S00748,Electron II,1964 Jun,ObjectD,SCI,U
S00752,,1964 Feb 22,CORONA J,IMG,U
S00754,,1964 Feb 27,AFP-206,IMG,U
S00757,Cosmos 25,1964 Nov 21,DS-P1,CAL,U
S00759,,1964 Mar 11,SAMOS F-2,SIG,U
S00764,,1964 Mar 14,AFP-206,IMG,U
S00766,Cosmos 26,1964 Apr  1,DS-MG,SCI,U
S00771,[Ariel II],1964 Sep?,UK,SCI,U
S00772,Cosmos 27,1964 Mar 27,3MV,PLAN,U
S00779,Cosmos 28,1964 Apr 12 0740?,Zenit-2 A,IMG,U
S00782,[Gemini GT-1],1964 Apr  8,Gemini,SS,U
S00784,Polet 2,1964 Apr 12,IS Polyot,TECH,U
S00785,Zond 1,1964 Apr,3MV,PLAN,U
S00786,,1964 Apr 27?,AFP-206,IMG,U
S00791,Cosmos 29,1964 May  3 0755?,Zenit-2 A,IMG,U
S00796,,1964 May 19,CORONA J,IMG,F
S00797,Cosmos 30,1964 May 26 0715?,Zenit-4,IMG,U
S00799,,1964 May 21,AFP-206,IMG,U
S00800,[Apollo-Saturn 6],1964 May 28,Apollo BPS,SS,U
S00801,,1965 Aug 23,Transit 5,NAV,U
S00802,,1964 Jun 13,CORONA J,IMG,U
S00803,Cosmos 31,1964 Jun  6,DS-MT,AST,F
