LV_Name,LV_Family,LV_Manufacturer,LV_Max_Stage,Length,Diameter,Launch_Mass,LEO_Capacity,TO_Thrust,Class
IRBM-T1,Pegasus             ,OSCC,2, 15.0 , 1.28 ,    23.0 ,     350 ,     726 ,M
IRBM-T2,Pegasus             ,OSCC,2, 15.0 , 1.28 ,    23.0 ,     350 ,     726 ,M
Hyper X,Pegasus             ,OSCC,1, 14.9 , 1.28 ,    18.8 ,       0 ,     726 ,T
Al Kahir,AlKahir             ,EGAO,1, 12.5 , 1.22 ,    10.0 ,       0 ,,A
LDSD,Star48              ,JPL,1,  2.0 , 1.22 ,     3.0 ,       0 ,,A
Hyunmoo-1,Hyunmoo             ,ADD,2, 11.9 , 1.20 ,     4.9 ,       0 ,     775 ,A
Hyunmoo-2A,Hyunmoo             ,ADD,1,  7.0 , 1.20 ,     5.0 ,       0 ,,B
Hyunmoo-2B,Hyunmoo             ,ADD,1,  7.0 , 1.20 ,     5.0 ,       0 ,,B
Hyunmoo-2C,Hyunmoo             ,ADD,1,  7.0 , 1.20 ,     5.0 ,       0 ,,B
Hyunmoo-4,Hyunmoo             ,ADD,1,  7.0 , 1.20 ,     5.0 ,       0 ,,B
Electron,Electron            ,RLABN,3, 17.0 , 1.20 ,    12.6 ,     150 ,     162 ,O
HASTE,Electron            ,RLABN,3, 17.0 , 1.20 ,    12.6 ,     150 ,     162 ,V
Jielong-1,JL1                 ,CZHJ,4, 19.5 , 1.20 ,    19.5 ,     150 ,,O
DF-16,DF-16               ,CASIC,1, 12.0 , 1.20 ,    18.0 ,       0 ,,M
DF-17,DF-16               ,CASIC,1, 12.0 , 1.20 ,    18.0 ,       0 ,,M
Hermes A-3B,HermesA3            ,GEMTS,1, 10.1 , 1.19 ,     5.4 ,       0 ,     100 ,A
SICBM,SICBM               ,MMD?,4, 16.2 , 1.17 ,    17.0 ,       0 ,     979 ,M
Super Strypi,LEO-46              ,SAND,3, 20.6 , 1.17 ,    24.0 ,     300 ,,O
Aries,Aries               ,SVC,1,  9.2 , 1.16 ,     6.3 ,       0 ,     200 ,R
M56A1,Aries               ,OSCC,1,  9.2 , 1.16 ,     6.3 ,       0 ,     200 ,R
ERIS,Aries               ,LMSC,2,  4.1 , 1.16 ,    14.0 ,       0 ,     200 ,M
Viking Type 9,Viking              ,NRL,1, 12.8 , 1.14 ,     6.8 ,       0 ,      93 ,R
Vanguard,Viking              ,NRL,3, 22.1 , 1.14 ,    10.0 ,      20 ,     120 ,O
Scout II TV,Zefiro              ,BPD,1,  9.0 , 1.14 ,    17.0 ,       0 ,     590 ,T
Scout D-1,ScoutD              ,LTV,4, 25.0 , 1.14 ,    21.3 ,     183 ,     464 ,O
Scout E-1,ScoutD              ,LTV,5, 25.0 , 1.14 ,    20.6 ,     200 ,     464 ,O
Scout F-1,ScoutD              ,LTV,4, 25.0 , 1.14 ,    20.6 ,     192 ,     464 ,O
Scout G-1,ScoutD              ,LTV,4, 25.0 , 1.14 ,    23.8 ,     205 ,     464 ,O
TR-1,TR-1                ,NISST,1, 14.3 , 1.13 ,    11.8 ,       0 ,     608 ,R
TR-1A,TR-1                ,NISST,1, 13.4 , 1.13 ,    10.3 ,       0 ,     608 ,R
Prithvi,Prithvi             ,HAL,1,  9.0 , 1.10 ,     4.5 ,       0 ,,B
Prithvi 2,Prithvi             ,HAL,1,  9.0 , 1.10 ,     4.5 ,       0 ,,B
PDV Target,Prithvi             ,HAL,2,  9.0 , 1.10 ,     4.5 ,       0 ,,B
PDV,Prithvi             ,HAL,1,  9.0 , 1.10 ,     4.5 ,       0 ,,B
Dhanush,Prithvi             ,HAL,1,  8.5 , 1.10 ,     4.5 ,       0 ,,B
Spartan ABM,Spartan             ,MDAC/WELEC,3, 16.8 , 1.09 ,    13.2 ,       0 ,    2000 ,M
Nike Zeus,Spartan             ,DACC/WELEC,2, 14.7 , 1.09 ,    10.3 ,       0 ,    2002 ,M
Nike Zeus DM-15S,Spartan             ,DACC/WELEC,3, 14.6 , 1.09 ,    10.3 ,       0 ,    2002 ,M
Dolphin,Dolphin             ,STST,1, 15.5 , 1.07 ,     7.5 ,       0 ,     155 ,T
Nike Hercules 1810,Hercules            ,DACC/WELEC,2, 11.9 , 1.06 ,     4.9 ,       0 ,     775 ,A
Nike Hercules R&D,Hercules            ,DACC/WELEC,2, 11.9 , 1.06 ,     4.9 ,       0 ,     775 ,A
Nike Hercules,Hercules            ,DACC/WELEC,2, 11.9 , 1.06 ,     4.9 ,       0 ,     775 ,A
Nike J,Hercules            ,MHITO?,2, 11.9 , 1.06 ,     4.9 ,       0 ,     775 ,A
Paekkom,Hercules            ,ADD,2, 11.9 , 1.06 ,     4.9 ,       0 ,     775 ,A
Hermes A-3A,HermesA3            ,GEMTS,1,  8.7 , 1.02 ,     3.8 ,       0 ,      80 ,A
Blue Scout I,Scout               ,LTV,3, 21.7 , 1.02 ,    16.7 ,       0 ,     556 ,R
Blue Scout II,Scout               ,LTV,4, 21.7 , 1.02 ,    16.9 ,      50 ,     556 ,O
Scout X,Scout               ,LTV,4, 21.6 , 1.02 ,    16.7 ,       0 ,     556 ,X
Scout X-1,Scout               ,LTV,4, 21.6 , 1.02 ,    16.7 ,      59 ,     556 ,O
Scout X-1A,Scout               ,LTV,5, 22.0 , 1.02 ,    17.0 ,       0 ,     440 ,R
Scout X-2,Scout               ,LTV,4, 22.0 , 1.02 ,    17.0 ,      76 ,     440 ,O
Scout X-2B,Scout               ,LTV,4, 22.0 , 1.02 ,    17.0 ,      90 ,     440 ,O
Scout X-2M,Scout               ,LTV,4, 22.0 , 1.02 ,    17.0 ,      90 ,     440 ,O
Scout X-3,Scout               ,LTV,4, 22.0 , 1.02 ,    17.0 ,      87 ,     380 ,O
Scout X-3M,Scout               ,LTV,4, 22.0 , 1.02 ,    17.0 ,      90 ,     380 ,O
Scout X-3A,Scout               ,LTV,5, 22.0 , 1.02 ,    17.0 ,       0 ,     380 ,R
Scout X-3C,Scout               ,LTV,3, 22.0 , 1.02 ,    17.0 ,       0 ,     380 ,R
Scout X-4,Scout               ,LTV,4, 22.0 , 1.02 ,    17.5 ,     103 ,     380 ,O
Scout X-4A,Scout               ,LTV,5, 22.0 , 1.02 ,    17.5 ,       0 ,     380 ,R
Scout X-5C,Scout               ,LTV,3, 22.0 , 1.02 ,    17.5 ,       0 ,     380 ,R
Scout A,Scout               ,LTV,4, 22.0 , 1.02 ,    17.9 ,     121 ,     400 ,O
Scout A-1,Scout               ,LTV,4, 22.0 , 1.02 ,    17.9 ,     121 ,     440 ,O
Scout B,Scout               ,LTV,4, 22.4 , 1.02 ,    17.9 ,     143 ,     400 ,O
Scout B-1,Scout               ,LTV,4, 22.0 , 1.02 ,    17.9 ,     143 ,     440 ,O
Athena H,Castor4             ,ATLC/CELES,3, 18.6 , 1.02 ,    14.0 ,       0 ,     422 ,V
Prospector,Castor4             ,SDCO,1, 14.1 , 1.02 ,    12.2 ,       0 ,     430 ,R
Strypi XIIR,Sergeant            ,SAND,2, 16.0 , 1.02 ,    13.5 ,       0 ,     430 ,R
Castor 4A,Castor4             ,OSCC,1, 16.0 , 1.02 ,    13.5 ,       0 ,     430 ,R
Maxus,Castor4             ,EADSB,1, 15.5 , 1.02 ,    12.3 ,       0 ,     500 ,R
Castor 4B,Castor4             ,OSCC,1, 14.0 , 1.02 ,    13.0 ,       0 ,     500 ,R
MRT,Castor4             ,OSCC,1, 14.0 , 1.02 ,    13.0 ,       0 ,     500 ,B
Castor-M57A1,Castor4             ,OSCC,2, 16.0 , 1.02 ,    14.0 ,       0 ,     500 ,R
Conestoga 1620,Castor4             ,EERSSI,4, 15.2 , 1.02 ,    87.4 ,     900 ,    1580 ,O
GBI BV,GEM                 ,BOHSV,3, 15.5 , 1.02 ,    14.0 ,       0 ,     500 ,M
GBI BV+,GEM                 ,LMSC,3, 15.5 , 1.02 ,    14.0 ,       0 ,     500 ,M
Pershing 1,Pershing            ,MARTO,2, 10.7 , 1.02 ,     4.7 ,       0 ,     116 ,M
Pershing 1A,Pershing            ,MARTO,2, 10.7 , 1.02 ,     4.7 ,       0 ,     116 ,M
Pershing 2,Pershing            ,MARTO,2, 10.7 , 1.02 ,     7.5 ,       0 ,,M
